Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
0.11,0.222125241048001,-9.98330930011717,0.0750000000000583,-1.07778984546851e-16,-4.27112521368493e-18,2.25449132894475e-17,1.99656059356644,0.199437763622442,-9.98501405854544,-4.52896121078272e-18,4.08610086473281e-17,4.22529871316581e-17,2.46181676251062e-17,2,2.54504549781195e-15
0.12,0.24203472003388,-9.98181328310889,0.0750000000000583,-1.30135135509665e-16,3.89929810624719e-17,5.06300037820387e-17,1.99659129439526,0.199437763622442,-9.98501405854544,-1.98473604924445e-17,8.73871977209371e-17,8.85951846262177e-17,5.16188618596222e-17,2,2.70006942345161e-15
0.13,0.261944505164991,-9.98031724309656,0.0750000000000583,-1.2840103426502e-16,9.1010195444598e-17,7.74624221606585e-17,1.99662172118235,0.199437763622442,-9.98501405854544,-4.50830917491161e-17,1.33991365653358e-16,1.33270796260141e-16,7.76485409573641e-17,2,2.60296790977419e-15
0.14,0.281854593708621,-9.97882118028554,0.0750000000000583,-1.20204324513402e-16,1.4259509448503e-16,1.02306961137966e-16,1.99665187637385,0.199437763622442,-9.98501405854544,-8.01205626378387e-17,1.79751477567065e-16,1.75297792707348e-16,1.02135037973379e-16,2,2.44864970160152e-15
0.15,0.301764982956448,-9.97732509487931,0.0750000000000583,-1.10415904897861e-16,1.92106482125817e-16,1.25320399370596e-16,1.9966817623941,0.199437763622442,-9.98501405854544,-1.24766203730624e-16,2.24577429829672e-16,2.14584764951011e-16,1.25025094602127e-16,2,2.28900566287473e-15
0.16,0.321675670224328,-9.97582898707958,0.0750000000000583,-1.0019080506415e-16,2.39703418207296e-16,1.46686685362847e-16,1.99671138164576,0.199437763622442,-9.98501405854544,-1.7882956406893e-16,2.68535559042666e-16,2.51206112947889e-16,1.46362059035796e-16,2,2.13369644336694e-15
0.17,0.341586652852073,-9.97433285708623,0.0750000000000583,-8.95950312199611e-17,2.85794699321729e-16,1.66486588950525e-16,1.99674073651007,0.199437763622442,-9.98501405854544,-2.42127924965863e-16,3.11646865783445e-16,2.85188766580343e-16,1.66161621629156e-16,2,1.97995625933595e-15
0.18,0.361497928203243,-9.97283670509736,0.0750000000000583,-7.89758933680915e-17,3.30641139254317e-16,1.84827925088068e-16,1.99676982934699,0.199437763622442,-9.98501405854544,-3.14501425877222e-16,3.54061261494086e-16,3.16692956607195e-16,1.84517138803778e-16,2,1.83555171746222e-15
0.19,0.381409493664929,-9.97134053130932,0.0750000000000583,-6.80728832217187e-17,3.74555639389162e-16,2.0174485393497e-16,1.99679866249544,0.199437763622442,-9.98501405854544,-3.95804886686774e-16,3.95807089479384e-16,3.4574979342693e-16,2.01446736639185e-16,2,1.6929597835407e-15
0.2,0.399804854373951,-9.96995828657485,0.0750000000000531,-5.68813797164651e-17,4.17671539959215e-16,2.17261904933552e-16,1.9964950042081,0.398875527244882,-9.97002811709088,-4.85900782099295e-16,4.36923770130263e-16,3.72402019020297e-16,2.16975318208937e-16,2,1.55285815697526e-15
0.21,0.419713679310083,-9.96846231871249,0.0750000000000531,-3.53466200677209e-17,4.60326267142904e-16,2.2922142055019e-16,1.99652629050063,0.398875527244882,-9.97002811709088,-5.84096454481391e-16,4.73488339186392e-16,3.92617208038432e-16,2.28753441972613e-16,2,1.17781237636752e-15
0.22,0.439622816229625,-9.96696632740739,0.0750000000000531,-2.11125082803378e-17,4.98071968690732e-16,2.39304788416723e-16,1.99655729752547,0.398875527244882,-9.97002811709088,-6.89913882767134e-16,5.08959883943376e-16,4.10100738234703e-16,2.3893999933267e-16,2,1.01865573600572e-15
0.23,0.459532262347752,-9.96547031286882,0.0750000000000531,-8.97142851157185e-18,5.34262931236422e-16,2.48118610432546e-16,1.9965880277754,0.398875527244882,-9.97002811709088,-8.03188547319243e-16,5.43822018439944e-16,4.25374023982587e-16,2.47838785767721e-16,2,8.89878643505072e-16
0.24,0.479442014904496,-9.96397427530417,0.0750000000000531,3.06486958270018e-18,5.69869131331398e-16,2.55709657058722e-16,1.99661848372099,0.398875527244882,-9.97002811709088,-9.23793660444951e-16,5.78099292539529e-16,4.38469815591962e-16,2.55468882830882e-16,2,7.63009706316108e-16
0.25,0.499352071164523,-9.96247821491896,0.0750000000000531,1.51732646879272e-17,6.04989937705614e-16,2.6209702745439e-16,1.99664866781073,0.398875527244882,-9.97002811709088,-1.05161431684204e-15,6.11862822195127e-16,4.49468773619277e-16,2.61877286373434e-16,2,6.40840354255267e-16
0.26,0.519262428416918,-9.96098213191691,0.0750000000000531,2.75270449106266e-17,6.39674001395649e-16,2.67283298116122e-16,1.99667858247125,0.398875527244882,-9.97002811709088,-1.18654260220531e-15,6.45126194087535e-16,4.58390648176119e-16,2.67075503547669e-16,2,5.19821717423439e-16
0.27,0.539173083974962,-9.95948602649988,0.0750000000000531,4.01084435769148e-17,6.739107425074e-16,2.71282835495621e-16,1.99670823010754,0.398875527244882,-9.97002811709088,-1.32847571631143e-15,6.77918417764332e-16,4.65271349671063e-16,2.71084457098173e-16,2,4.00895355050396e-16
0.28,0.559084035175921,-9.95798989886797,0.0750000000000531,5.29475981915505e-17,7.07709628814585e-16,2.74106852016989e-16,1.9967376131031,0.398875527244882,-9.97002811709088,-1.47731505694315e-15,7.10254403342768e-16,4.70131981654074e-16,2.7391644274096e-16,2,2.83198564278702e-16
0.29,0.578995279380826,-9.95649374921947,0.0750000000000531,6.60027410481659e-17,7.41072447451228e-16,2.75775978819527e-16,1.99676673382018,0.398875527244882,-9.97002811709088,-1.63296758426847e-15,7.42165674211477e-16,4.73010900826489e-16,2.75593808522101e-16,2,1.67736578114103e-16
0.3,0.598539160570954,-9.95502520357399,0.0750000000000845,7.94295643099573e-17,7.74026446633312e-16,2.76276812810978e-16,1.99671497188735,0.598313290867324,-9.95504217563631,-1.79533779492444e-15,7.73619073584903e-16,4.73879466122734e-16,2.7609986708761e-16,2,5.06058565508988e-17
0.31,0.618450179000186,-9.95352907089048,0.0750000000000845,3.40001630307886e-17,8.05098721464161e-16,2.88442998253511e-16,1.99674429470444,0.598313290867324,-9.95504217563631,-1.96764234539309e-15,8.27918353256804e-16,4.96710685709924e-16,2.89402187918364e-16,2,1.33023208307541e-15
0.32,0.638361489833272,-9.95203291623548,0.0750000000000845,3.59274411685177e-17,8.60924183560225e-16,3.01993834675768e-16,1.99677335578021,0.598313290867324,-9.95504217563631,-2.15174573557621e-15,8.83971172394685e-16,5.18960233006499e-16,3.02365604758529e-16,2,1.29634168401655e-15
0.33,0.658273090460156,-9.95053673980509,0.0750000000000845,5.11567831997554e-17,9.21026849492607e-16,3.13709012305688e-16,1.99680215745101,0.598313290867324,-9.95504217563631,-2.34771493525141e-15,9.39628923277688e-16,5.38329393260434e-16,3.13650800581564e-16,2,1.12851958230343e-15
0.34,0.678184978294081,-9.9490405417937,0.0750000000000845,7.02341450327096e-17,9.80448614129e-16,3.23182942092388e-16,1.99683070203235,0.598313290867324,-9.95504217563631,-2.55538980487891e-15,9.94363083965764e-16,5.54264549203076e-16,3.22935217299979e-16,2,9.28441671841544e-16
0.35,0.698097150771379,-9.94754432239393,0.0750000000000845,9.05167369933839e-17,1.03827302158606e-15,3.30491009391309e-16,1.99685899181905,0.598313290867324,-9.95504217563631,-2.77456237664217e-15,1.04809986419354e-15,5.66700365488892e-16,3.30180788102472e-16,2,7.24557080249272e-16
